"Agrostis capillaris"	"Briza media"	"Festuca rubra"	"Nardus stricta"	"Phleum rhaeticum"	"Poa pratensis"	"Poa supina"	"Trisetum flavescens"	"Luzula multiflora"	"Trifolium pratense"	"Alchemilla vulgaris=xant"	"Campanula scheuchzeri"	"Carum carvi"	"Crepis aurea"	"Crocus albiflorus"	"Leontodon hispidus"	"Leucanthemum vulgare"	"Plantago atrata"	"Plantago lanceolata"	"Potentilla erecta"	"Ranunculus acris acris"	"Rumex alpestris"	"Taraxacum officinale"	"Cerastium fontanum"	"Alopecurus pratensis"	"Trifolium badium"	"Trifolium thalii"	"Achillea millefolium"	"Bellis perennis"	"Chaerophyllum villarsii"	"Ranunculus montanus"	"Veronica chamaedrys"	"Peucedanum ostruthium"	"Centaurea nervosa"	"Poa alpina"	"Geranium sylvaticum"	"Dactylis glomerata"	"Trifolium montanum"	"Trifolium repens"	"Festuca pratensis"	"Poa chaixii"	"Deschampsia cespitosa"	"Trollius europaeus"	"Veratrum album"	"Plantago major"	"Veronica serpyllifolia"	"Anthoxanthum alpinum"	"Poa trivialis"	"Lotus corniculatus"	"Antennaria dioica"	"Bartsia alpina"	"Galium pumilum"	"Phyteuma orbiculare"	"Polygonum viviparum"	"Anthoxanthum odoratum"	"Potentilla aurea"	"Agropyron repens"	"Cirsium acaule"	"Myosotis alpestris"	"Sanguisorba officinalis"	"Stellaria graminea"	"Hieracium lactucella"	"Hieracium pilosella"	"Thymus pulegioides"	"Carex caryophyllea"	"Anthyllis vulneraria alp"	"Hippocrepis comosa"	"Plantago alpina"	"Ranunculus acri friesianus"	"Helianthemum alpestre"	"Vaccinium myrtillus"	"Carlina acaulis"	"Sesleria caerulea"	"Koeleria pyramidata"	"Carex montana"	"Plantago media"	"Phyteuma scheuchzeri"	"Euphrasia minima"	"Prunella vulgaris"	"Plantago serpentina"	"Calluna vulgaris"	"Polygala chamaebuxus"	"Carex sempervirens"	"Arnica montana"	"Polygala vulgaris"	"Erica carnea"	"Juniperus communis nana=alpina"	"Helictotrichon versicolor"	"Carduus defloratus"	"Gentiana verna"	"Laserpitium gaudinii"	"Scabiosa lucida"	"Gentiana acaulis"	"Festuca ovina"	"Carex ornithopoda"	"Luzula campestris"	"Rhinanthus minor"	"Leontodon autumnalis"	"Botrychium lunaria"	"Vaccinium vitis-idaea"	"Campanula barbata"	"Pinus cembra"	"Aster bellidiastrum"	"Lolium perenne"	"Chenopodium bonus-henric"	"Arrhenatherum  elatius"	"Lathyrus pratensis"	"Pimpinella saxifraga"	"Biscutella laevigata"	"Centaurea scabiosa"	"Pimpinella major"	"Poa badensis"	"Carex nigra"	"Carex pallescens"	"Trichophorum cespitosum"	"Eriophorum angustifolium"	"Carex pilulifera"	"Leontodon helveticus"	"Melampyrum sylvcaticum"	"Vaccinium gaultherioides"	"Carex echinata"	"Carex panicea"	"Juncus alpinus"	"Juncus filiformis"	"Luzula sudetica"	"Homogyne alpina"	"Carex flacca"	"Willemetia stipitata"	"Pinus mugo unicinata"	"Brachypodium pinnatum"	"Empetrum nigrum"	"Carex ferruginea"	"Pedicularis tuberosa"	"Solidago virgaurea min."	"Luzula luzulina"	"Carex lepidocarpa"	"Carex frigidea"	"Carex paupercula"	"Phyteuma betonicifolium"	"Triglochin palustris"	"Primula farinosa"	"Carex flava"	"Knautia dipsacifolia"	"Avenella felxuosa"	"Hieracium murorum"	"Luzula spicata"	"Geum montanum"	"Rhododendron ferrugineum"	"Carex davalliana"	"Tofieldia calyculata"	"Carex canescens"	"Cirsium spinosissimum"
"1_1_1A"	0.320918161241053	0.138596604447098	-0.623543447599798	0.138596604447098	0.320918161241053	0.138596604447098	0.138596604447098	0.320918161241053	0.138596604447098	-0.0845469468671114	0.256379640103482	0.138596604447098	-0.149085468004682	-0.0845469468671114	0.138596604447098	-0.554550576112847	-0.554550576112847	0.138596604447098	0.138596604447098	-0.372229019318892	0.233906784251424	-0.554550576112847	0.138596604447098	0.138596604447098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1_1_1B"	0.0113698446667452	0.0113698446667447	0.116730360324572	0.116730360324572	-0.106413190989638	-0.288734747783593	-0.106413190989638	-0.0655911964693829	-0.106413190989638	-0.170951712127209	0.222090875982398	0.116730360324572	-0.106413190989638	-0.17095171212721	-0.0128871329788147	0.116730360324572	0.116730360324572	-0.106413190989638	0.116730360324572	-0.0655911964693829	0.0113698446667452	0.116730360324572	0.116730360324572	0.116730360324572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1_1_1C"	-0.0150539004456762	0.0719574765439539	0.0719574765439537	0.226108156371212	0.0719574765439539	0.0719574765439535	0.0719574765439539	-0.0458255591124299	0.0719574765439539	-0.110364080250001	-0.0334030391138729	0.0719574765439539	-0.215724595907827	0.00157667978215414	0.00157667978215414	-0.0615739160805688	0.0719574765439539	-0.215724595907827	-0.333507631564211	0.0719574765439535	0.0719574765439539	-0.0615739160805688	0.0719574765439539	0.0719574765439539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1_1_2A"	0.0402261811797695	NA	0.0368983910870946	NA	-0.0808846445692888	-0.0400626500490331	NA	0.142258906744921	NA	0.00872751412039863	0.142258906744921	NA	0.142258906744921	0.142258906744921	0.142258906744921	NA	NA	NA	NA	NA	0.142258906744921	0.142258906744921	0.142258906744921	NA	-0.774031825129234	0.142258906744921	0.142258906744921	-0.0400626500490331	0.142258906744921	-0.0808846445692883	0.142258906744921	0.142258906744921	-0.550888273815024	-0.550888273815024	0.142258906744921	0.0402261811797695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1_1_2B"	-0.0779699505010631	NA	0.114401942146393	NA	-0.146962821988014	-0.301113501815273	NA	0.0761807293261958	NA	0.104351606292892	0.209712121950718	NA	0.209712121950718	-0.483435058609227	0.0523199481992886	NA	NA	NA	NA	NA	0.042658037287552	0.209712121950718	0.209712121950718	NA	-0.483435058609227	0.209712121950719	0.209712121950718	0.270336743767153	0.209712121950719	-0.888900166717392	0.209712121950718	0.209712121950718	0.209712121950719	0.0555614421234596	-0.483435058609227	0.0523199481992886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1_1_2C"	0.0930561152035065	NA	0.162048986690458	NA	0.00604473821387685	-0.417769508562484	NA	0.0930561152035065	NA	0.00604473821387685	0.0930561152035065	NA	0.0930561152035065	0.0215971512213615	0.0215971512213615	NA	NA	NA	NA	NA	-0.0123044004543198	-0.1582583130774	-0.194625957248274	NA	0.0215971512213615	0.0930561152035061	0.0930561152035061	-0.0404752774210162	0.0215971512213615	0.0930561152035061	0.0930561152035061	0.0215971512213615	0.0930561152035061	0.21083915085989	-0.600091065356439	0.0930561152035061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1_1_3A"	NA	NA	-0.0906862342441044	NA	0.209418358206233	0.0916353225498501	-0.13150822876436	0.0916353225498505	NA	-0.0418960700746722	0.0916353225498501	0.0916353225498501	0.0916353225498501	NA	0.0916353225498501	NA	NA	NA	NA	NA	0.156173843687421	0.379317395001631	0.0916353225498501	0.0916353225498501	NA	NA	NA	-0.0906862342441044	0.0916353225498501	-0.196046749901931	0.0916353225498505	0.0916353225498501	-0.601511858010095	NA	NA	NA	0.31477887386406	-0.313829785558314	-0.601511858010095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1_1_3B"	NA	NA	0.118395054417392	NA	0.143712862401682	-0.249329725707925	0.0383523467438556	-0.184791204570354	NA	-0.012940947643695	0.326034419195637	-0.249329725707925	0.038352346743856	NA	0.00742204605249697	NA	NA	NA	NA	NA	-0.0306405247430961	0.038352346743856	0.0383523467438556	0.0383523467438556	NA	NA	NA	0.0383523467438556	0.0383523467438556	0.038352346743856	0.038352346743856	0.0383523467438556	0.0383523467438556	NA	NA	NA	-0.367112761364309	0.038352346743856	0.0383523467438556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1_1_3C"	NA	NA	0.419526053460823	NA	-0.024160267467539	-0.224830962929691	-0.342613998586073	-0.024160267467539	NA	-0.160292441792119	-0.119470447271864	0.0628511095220912	-0.0706802831024316	NA	0.0521558204053427	NA	NA	NA	NA	NA	0.158161289326416	0.0628511095220907	-0.22483096292969	0.0628511095220903	NA	NA	NA	0.0628511095220912	0.0521558204053427	0.0628511095220903	0.0628511095220912	0.0628511095220912	0.0628511095220912	NA	NA	NA	0.0628511095220907	0.0628511095220903	-0.119470447271864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1_1_4A"	0.056952601651274	NA	0.056952601651274	NA	-0.0484079140065528	-0.166190949662936	-0.636194578908671	0.056952601651274	NA	-0.0484079140065528	0.056952601651274	NA	-0.0120402698356774	NA	NA	NA	NA	NA	NA	NA	0.056952601651274	0.0569526016512736	0.056952601651274	0.056952601651274	0.0569526016512736	NA	NA	0.0569526016512736	0.056952601651274	0.056952601651274	0.0569526016512736	0.056952601651274	NA	NA	NA	NA	NA	NA	NA	0.056952601651274	0.056952601651274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
