"Area"	"Paddock"	"Subplot"	"Rotation"	"Breed"
"2"	"1"	"1_1"	"1_1_1"	"A"	"HC"
"4"	"1"	"1_1"	"1_1_1"	"B"	"OB"
"6"	"1"	"1_1"	"1_1_1"	"C"	"AH"
"8"	"1"	"1_1"	"1_1_2"	"A"	"HC"
"10"	"1"	"1_1"	"1_1_2"	"B"	"OB"
"12"	"1"	"1_1"	"1_1_2"	"C"	"AH"
"14"	"1"	"1_1"	"1_1_3"	"A"	"HC"
"16"	"1"	"1_1"	"1_1_3"	"B"	"OB"
"18"	"1"	"1_1"	"1_1_3"	"C"	"AH"
"20"	"1"	"1_1"	"1_1_4"	"A"	"HC"
"22"	"1"	"1_1"	"1_1_4"	"B"	"OB"
"24"	"1"	"1_1"	"1_1_4"	"C"	"AH"
"26"	"1"	"1_1"	"1_1_5"	"A"	"HC"
"28"	"1"	"1_1"	"1_1_5"	"B"	"OB"
"30"	"1"	"1_1"	"1_1_5"	"C"	"AH"
"32"	"1"	"1_1"	"1_1_6"	"A"	"HC"
"34"	"1"	"1_1"	"1_1_6"	"B"	"OB"
"36"	"1"	"1_1"	"1_1_6"	"C"	"AH"
"38"	"1"	"1_2"	"1_2_1"	"A"	"OB"
"40"	"1"	"1_2"	"1_2_1"	"B"	"AH"
"42"	"1"	"1_2"	"1_2_1"	"C"	"HC"
"44"	"1"	"1_2"	"1_2_2"	"A"	"OB"
"46"	"1"	"1_2"	"1_2_2"	"B"	"AH"
"48"	"1"	"1_2"	"1_2_2"	"C"	"HC"
"50"	"1"	"1_2"	"1_2_3"	"A"	"OB"
"52"	"1"	"1_2"	"1_2_3"	"B"	"AH"
"54"	"1"	"1_2"	"1_2_3"	"C"	"HC"
"56"	"1"	"1_2"	"1_2_4"	"A"	"OB"
"58"	"1"	"1_2"	"1_2_4"	"B"	"AH"
"60"	"1"	"1_2"	"1_2_4"	"C"	"HC"
"62"	"1"	"1_2"	"1_2_5"	"A"	"OB"
"64"	"1"	"1_2"	"1_2_5"	"B"	"AH"
"66"	"1"	"1_2"	"1_2_5"	"C"	"HC"
"68"	"1"	"1_2"	"1_2_6"	"A"	"OB"
"70"	"1"	"1_2"	"1_2_6"	"B"	"AH"
"72"	"1"	"1_2"	"1_2_6"	"C"	"HC"
"74"	"1"	"1_3"	"1_3_1"	"A"	"AH"
"76"	"1"	"1_3"	"1_3_1"	"B"	"HC"
"78"	"1"	"1_3"	"1_3_1"	"C"	"OB"
"80"	"1"	"1_3"	"1_3_2"	"A"	"AH"
"82"	"1"	"1_3"	"1_3_2"	"B"	"HC"
"84"	"1"	"1_3"	"1_3_2"	"C"	"OB"
"86"	"1"	"1_3"	"1_3_3"	"A"	"AH"
"88"	"1"	"1_3"	"1_3_3"	"B"	"HC"
"90"	"1"	"1_3"	"1_3_3"	"C"	"OB"
"92"	"1"	"1_3"	"1_3_4"	"A"	"AH"
"94"	"1"	"1_3"	"1_3_4"	"B"	"HC"
"96"	"1"	"1_3"	"1_3_4"	"C"	"OB"
"98"	"1"	"1_3"	"1_3_5"	"A"	"AH"
"100"	"1"	"1_3"	"1_3_5"	"B"	"HC"
"102"	"1"	"1_3"	"1_3_5"	"C"	"OB"
"104"	"1"	"1_3"	"1_3_6"	"A"	"AH"
"106"	"1"	"1_3"	"1_3_6"	"B"	"HC"
"108"	"1"	"1_3"	"1_3_6"	"C"	"OB"
"110"	"2"	"2_1"	"2_1_1"	"A"	"AH"
"112"	"2"	"2_1"	"2_1_1"	"B"	"HC"
"114"	"2"	"2_1"	"2_1_1"	"C"	"OB"
"116"	"2"	"2_1"	"2_1_2"	"A"	"AH"
"118"	"2"	"2_1"	"2_1_2"	"B"	"HC"
"120"	"2"	"2_1"	"2_1_2"	"C"	"OB"
"122"	"2"	"2_1"	"2_1_3"	"A"	"AH"
"124"	"2"	"2_1"	"2_1_3"	"B"	"HC"
"126"	"2"	"2_1"	"2_1_3"	"C"	"OB"
"128"	"2"	"2_1"	"2_1_4"	"A"	"AH"
"130"	"2"	"2_1"	"2_1_4"	"B"	"HC"
"132"	"2"	"2_1"	"2_1_4"	"C"	"OB"
"136"	"2"	"2_1"	"2_1_5"	"B"	"HC"
"142"	"2"	"2_1"	"2_1_6"	"B"	"HC"
"148"	"2"	"2_1"	"2_1_7"	"B"	"HC"
"150"	"2"	"2_1"	"2_1_7"	"C"	"OB"
"154"	"2"	"2_1"	"2_1_8"	"B"	"HC"
"156"	"2"	"2_1"	"2_1_8"	"C"	"OB"
"158"	"2"	"2_2"	"2_2_1"	"A"	"HC"
"160"	"2"	"2_2"	"2_2_1"	"B"	"OB"
"162"	"2"	"2_2"	"2_2_1"	"C"	"AH"
"164"	"2"	"2_2"	"2_2_2"	"A"	"HC"
"166"	"2"	"2_2"	"2_2_2"	"B"	"OB"
"168"	"2"	"2_2"	"2_2_2"	"C"	"AH"
"170"	"2"	"2_2"	"2_2_3"	"A"	"HC"
"172"	"2"	"2_2"	"2_2_3"	"B"	"OB"
"174"	"2"	"2_2"	"2_2_3"	"C"	"AH"
"176"	"2"	"2_2"	"2_2_4"	"A"	"HC"
"180"	"2"	"2_2"	"2_2_4"	"C"	"AH"
"182"	"2"	"2_2"	"2_2_5"	"A"	"HC"
"188"	"2"	"2_2"	"2_2_6"	"A"	"HC"
"196"	"2"	"2_2"	"2_2_7"	"B"	"OB"
"198"	"2"	"2_2"	"2_2_7"	"C"	"AH"
"202"	"2"	"2_2"	"2_2_8"	"B"	"OB"
"204"	"2"	"2_2"	"2_2_8"	"C"	"AH"
"206"	"2"	"2_3"	"2_3_1"	"A"	"OB"
"208"	"2"	"2_3"	"2_3_1"	"B"	"AH"
"210"	"2"	"2_3"	"2_3_1"	"C"	"HC"
"212"	"2"	"2_3"	"2_3_2"	"A"	"OB"
"214"	"2"	"2_3"	"2_3_2"	"B"	"AH"
"216"	"2"	"2_3"	"2_3_2"	"C"	"HC"
"218"	"2"	"2_3"	"2_3_3"	"A"	"OB"
"220"	"2"	"2_3"	"2_3_3"	"B"	"AH"
"222"	"2"	"2_3"	"2_3_3"	"C"	"HC"
"228"	"2"	"2_3"	"2_3_4"	"C"	"HC"
"236"	"2"	"2_3"	"2_3_6"	"A"	"OB"
"240"	"2"	"2_3"	"2_3_6"	"C"	"HC"
"244"	"2"	"2_3"	"2_3_7"	"B"	"AH"
"246"	"2"	"2_3"	"2_3_7"	"C"	"HC"
"250"	"2"	"2_3"	"2_3_8"	"B"	"AH"
"252"	"2"	"2_3"	"2_3_8"	"C"	"HC"
"254"	"3"	"3_1"	"3_1_1"	"A"	"OB"
"256"	"3"	"3_1"	"3_1_1"	"B"	"AH"
"258"	"3"	"3_1"	"3_1_1"	"C"	"HC"
"260"	"3"	"3_1"	"3_1_2"	"A"	"OB"
"262"	"3"	"3_1"	"3_1_2"	"B"	"AH"
"264"	"3"	"3_1"	"3_1_2"	"C"	"HC"
"266"	"3"	"3_1"	"3_1_3"	"A"	"OB"
